Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
7449040, 878846, 3605136, 6429829, 837113, 79085799, 5977578, 58460785
48821563, 209978, 106484, 425422, 147948, 2152095, 1302470, 41143544
44643996, 448087, 255884, 2438646, 124549, 610973, 584888, 26898563
59314712, 270844, 129372, 555029, 210044, 660816, 2641432, 26670591
65141190, 216951, 96756, 239562, 105512, 451978, 1187885, 19467470
33804879, 158448, 57211, 245647, 88114, 318049, 1328825, 21212087
58878826, 444398, 282283, 255945, 100613, 305424, 961037, 17579887
56530114, 482244, 227094, 674007, 176448, 560867, 2057154, 15125799
58514463, 469263, 117020, 1756269, 106221, 419315, 564080, 12653276
52342315, 324676, 140357, 506592, 177644, 211000, 935093, 12112017
49471457, 198675, 762909, 343580, 115022, 322264, 951182, 15220716
37983869, 216337, 57538, 197680, 72787, 28292, 750933, 9424653
33634676, 242448, 56536, 219107, 75910, 258615, 2511072, 14434837
37957615, 199826, 50859, 222014, 68828, 231090, 1007975, 12096746
41726876, 233407, 52660, 256480, 76048, 92602, 744381, 11943821
30967236, 212780, 54419, 248585, 135738, 289309, 853607, 9478299
33448946, 289511, 61723, 350809, 76756, 31465, 715224, 9334472
32551192, 189848, 51351, 233584, 69478, 191869, 799935, 8426771
34907967, 232216, 55162, 758857, 133094, 407180, 384680, 7337943
35943169, 191413, 47000, 194085, 80417, 214362, 784651, 5080016
38504451, 254481, 55238, 270093, 70898, 200421, 1474281, 8421689
45789680, 419323, 207107, 566948, 149269, 571687, 1573565, 8387782
42201562, 171198, 46309, 148307, 51499, 168397, 819493, 6380472
48524639, 261717, 61344, 278466, 76532, 270928, 966338, 6804907
35597980, 197162, 56380, 234611, 81918, 290924, 718459, 5915383
38789474, 371539, 91591, 380339, 114478, 400834, 1138535, 5899968
35624721, 205550, 57953, 260849, 76600, 212390, 1379578, 6650714
34482332, 128898, 75784, 227825, 52902, 187287, 615471, 7184940
37342940, 143748, 44097, 146615, 78852, 163815, 1383051, 4670308
37856963, 250144, 78520, 415562, 94414, 214912, 983826, 7873182
34305204, 191745, 148003, 241076, 73200, 288828, 1264701, 8418129
33727028, 313379, 84672, 2022469, 141840, 906160, 375392, 4779710
36775376, 260964, 64179, 556836, 89035, 247445, 904171, 8808379
35929506, 347839, 87633, 303903, 125323, 42594, 994771, 11102141
42182108, 395954, 226788, 433014, 154092, 440166, 1596894, 6100260
35707385, 484571, 75029, 309157, 101235, 300092, 1329750, 10918347
41072257, 158022, 64257, 391461, 75863, 323248, 274150, 6033626
38003201, 187213, 49562, 224604, 74332, 238837, 722551, 5424118
38464132, 329108, 91136, 378174, 135005, 607547, 1806815, 6951862
45594954, 440781, 90239, 346809, 122792, 43363, 1275932, 7108300
45646453, 367109, 92188, 833272, 135491, 745007, 391167, 8558163
44510689, 209966, 62852, 756161, 85536, 360004, 267571, 5657357
36904151, 190480, 52164, 203852, 83729, 194131, 694066, 6160184
48289384, 384110, 47457, 168341, 64654, 240040, 655132, 6998789
46968475, 123728, 37674, 129093, 46275, 159786, 488343, 5721044
51468293, 476240, 109046, 908432, 185855, 595746, 631316, 4442343
47376251, 259453, 80929, 526852, 128793, 424180, 430185, 8818571
43855182, 201973, 47411, 246064, 80791, 203191, 596202, 8085882
47526923, 269721, 78511, 425637, 110516, 328888, 1249863, 7763948
44999377, 270776, 80920, 332403, 120071, 395811, 1046747, 10563303
42362510, 172264, 45457, 295051, 67191, 327922, 340457, 6921227
47153163, 223752, 48589, 319287, 71395, 202964, 494460, 4073360
39399077, 263379, 86112, 184673, 72889, 22620, 422797, 4179066
39321376, 160365, 44538, 329037, 76468, 251148, 232286, 6215363
37792983, 149096, 46108, 262514, 66235, 172268, 564460, 5287034
38228010, 148900, 44971, 237022, 157119, 194402, 375160, 3952384
39820713, 159365, 46772, 188505, 40247, 18646, 537584, 7964479
36132714, 307066, 84030, 375123, 92025, 54703, 883138, 7266682
35145623, 286718, 77565, 487391, 69167, 359367, 1166745, 7099719
35195915, 259283, 82747, 358472, 72866, 343326, 878062, 7743824
36902645, 509927, 107694, 683058, 109783, 561372, 1648888, 7026999
33103287, 128071, 42258, 159340, 29633, 246432, 199365, 5916124
38924970, 230757, 131962, 338493, 85550, 461962, 972357, 6426247
35846384, 357171, 91707, 457593, 86570, 459217, 1147662, 6960675
34890953, 435014, 73758, 462159, 67677, 36804, 756495, 9048239
44043858, 119670, 39447, 159961, 31733, 193079, 144911, 5472320
39088963, 281485, 65478, 286169, 55736, 270073, 670384, 8290563
47374476, 449169, 104972, 646265, 110916, 262458, 1627647, 6365477
45156082, 267203, 93616, 414182, 72378, 447615, 643688, 6657414
46636813, 190224, 129261, 275261, 65217, 32112, 566359, 8499598
46105507, 266459, 55328, 252797, 42787, 264004, 246161, 20143343
46323651, 245345, 136913, 395413, 62942, 290283, 879366, 5549698
48003129, 321646, 94963, 504839, 68880, 610685, 429359, 7381177
46493817, 257037, 66097, 468887, 113893, 305508, 866459, 10291159
