Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 425, 0
tx, check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY, txRelease
197257, 5723247, 1390766, 4161981, 4962430, 866007, 71087148, 7517170, 54517208, 2802
90705, 69153, 234922, 108499, 396902, 145463, 2000247, 1255506, 48202149, 2912
76783, 96689, 223562, 143555, 309147, 116237, 129661, 957512, 24727212, 2369
141674, 176270, 432800, 263974, 581663, 330346, 128123, 1494867, 19111237, 2827
86215, 127349, 222114, 81250, 289885, 135212, 46687, 821772, 14823894, 3386
62254, 50383, 140238, 100576, 226551, 73893, 29176, 780403, 15133272, 2897
115872, 83635, 328308, 136608, 496198, 156660, 64504, 1171349, 10637114, 2619
194719, 210856, 510521, 170037, 2682479, 350656, 783593, 408485, 11493230, 2788
93187, 62684, 220918, 84901, 849918, 155904, 445477, 773807, 19304680, 3642
79962, 51524, 227344, 63134, 1210838, 282595, 624069, 357610, 15277721, 3427
55766, 37973, 133822, 57591, 241515, 82110, 242391, 851390, 10747174, 3120
75946, 49826, 215629, 192982, 270804, 68735, 366718, 681615, 17226391, 2983
120939, 86242, 458944, 105903, 582673, 106930, 397070, 1570834, 11022379, 3181
90286, 55201, 214203, 112213, 264196, 74130, 290757, 962004, 9062176, 2617
256362, 50364, 215503, 56833, 232344, 68096, 202004, 891985, 8488364, 2794
81296, 62367, 197059, 66671, 384055, 77005, 243295, 813329, 9287553, 3009
89452, 50580, 189795, 51772, 791146, 77221, 284448, 289662, 8138183, 3360
211867, 97201, 296029, 93224, 944183, 123359, 107572, 1450585, 8771375, 12928
180803, 111574, 320652, 88120, 409332, 101016, 445178, 966069, 7193257, 3082
75164, 83847, 188474, 51939, 282062, 69559, 321604, 1090190, 7670090, 2791
171407, 228286, 516121, 102684, 528337, 152956, 493104, 1776596, 7451429, 2318
141909, 202580, 556314, 89501, 431874, 142642, 60569, 1454601, 7366876, 2809
107261, 78370, 336174, 78030, 467959, 94937, 39353, 927850, 7434475, 3607
166482, 92154, 309395, 167623, 431400, 115636, 356603, 1486692, 11679455, 2816
163799, 144716, 538262, 106150, 576028, 153523, 63952, 1243219, 9568250, 2886
178848, 106423, 393247, 111448, 603858, 200012, 736392, 2306686, 9464137, 2518
99431, 66011, 272915, 67287, 320538, 86985, 254022, 1062611, 9283930, 3703
112320, 68661, 312657, 77237, 391439, 103322, 290987, 1153122, 9787881, 3358
108927, 126787, 307977, 74750, 462622, 95645, 40002, 802469, 5202330, 3357
120343, 89437, 282117, 89509, 654081, 118619, 508206, 1523844, 9028088, 1966
85380, 56769, 193127, 76124, 234111, 77518, 285234, 1206997, 10591638, 2363
126447, 82439, 293489, 88452, 1064264, 185535, 708752, 522469, 9088755, 2873
104812, 60838, 221778, 60510, 616155, 83795, 390424, 357940, 9423069, 3401
88297, 58115, 293782, 66722, 322716, 113584, 41451, 923835, 9755699, 2522
178572, 106515, 388069, 181724, 547244, 127348, 557831, 517552, 8988148, 2926
96465, 100542, 243471, 69089, 319292, 94377, 313789, 1051049, 5732662, 2134
109556, 123068, 262665, 76348, 559673, 99482, 712168, 478121, 6061203, 1884
100379, 159374, 243027, 72864, 413039, 104507, 531117, 498423, 10564382, 3121
337220, 65393, 221050, 112971, 270150, 50600, 148881, 489601, 6208661, 2369
132542, 60743, 303610, 62945, 278675, 79971, 268837, 1071558, 9973680, 1781
105262, 68610, 254663, 70238, 312515, 93427, 325546, 1092464, 11461084, 2201
142898, 57825, 284483, 60367, 491261, 113918, 477710, 970154, 6226396, 1994
91598, 56811, 249197, 58726, 253788, 100888, 30106, 743349, 6645991, 1650
139758, 83592, 273421, 79201, 345845, 109769, 345779, 1962034, 11598803, 2027
60196, 39222, 137115, 40865, 140190, 54805, 18432, 794126, 6875403, 2581
54530, 36253, 123829, 96781, 604346, 151629, 510278, 1539693, 7976503, 1827
161382, 97708, 308265, 86374, 320875, 111893, 44577, 933174, 9420842, 2420
123997, 37369, 121368, 38552, 140182, 49436, 148550, 428168, 7390089, 2403
124620, 75013, 268717, 159183, 496616, 244094, 529491, 1401450, 8124607, 1778
74778, 52106, 159934, 44683, 217326, 54554, 156440, 568298, 5140156, 1762
133414, 73543, 362640, 84996, 339297, 113965, 372021, 1045968, 9079791, 2259
93033, 55731, 249535, 55504, 170267, 50010, 139564, 504308, 7672164, 2440
89801, 53406, 232909, 60833, 371138, 77976, 238152, 742587, 12965635, 2005
122358, 75587, 299717, 73869, 505682, 124761, 393842, 1360250, 7293283, 2141
100652, 68875, 205004, 49532, 241436, 114273, 321145, 531712, 8930736, 2541
76952, 90936, 185293, 45622, 308848, 106766, 255437, 5935823, 6759997, 2201
57974, 31094, 116656, 37370, 159709, 53526, 271822, 334818, 3385425, 1788
100680, 42519, 621971, 53296, 278674, 65656, 292840, 238592, 4068875, 2254
103062, 30831, 139315, 38818, 252558, 64916, 179068, 451035, 4007675, 2112
51360, 30274, 145515, 33927, 201603, 101425, 167781, 315045, 6924855, 2481
50633, 28405, 157349, 33976, 138293, 30756, 163873, 418593, 3587909, 1616
81687, 44583, 204450, 62078, 328356, 53715, 130462, 702490, 6362942, 2516
89206, 60386, 212794, 58103, 274121, 65938, 261919, 715000, 8577961, 2913
59536, 62908, 269834, 70459, 353976, 66206, 56927, 692260, 8622297, 11881
74667, 43663, 236116, 46352, 244246, 43883, 222180, 587791, 8674260, 3225
